group	colour	x	y	clickSelects	showSelected1
81	#B79F00	8	58.8	S031	Chemistry
82	#B79F00	1	58	S032	Chemistry
82	#B79F00	2	55.7	S032	Chemistry
82	#B79F00	3	67.7	S032	Chemistry
82	#B79F00	4	63.6	S032	Chemistry
82	#B79F00	5	69.1	S032	Chemistry
82	#B79F00	6	62.5	S032	Chemistry
82	#B79F00	7	68.4	S032	Chemistry
82	#B79F00	8	75.1	S032	Chemistry
83	#B79F00	1	58.3	S033	Chemistry
83	#B79F00	2	53.5	S033	Chemistry
83	#B79F00	3	58.1	S033	Chemistry
83	#B79F00	4	65	S033	Chemistry
83	#B79F00	5	60.3	S033	Chemistry
83	#B79F00	6	68.7	S033	Chemistry
83	#B79F00	7	62.5	S033	Chemistry
83	#B79F00	8	71.7	S033	Chemistry
84	#B79F00	1	68.7	S034	Chemistry
84	#B79F00	2	77	S034	Chemistry
84	#B79F00	3	73.2	S034	Chemistry
84	#B79F00	4	78.9	S034	Chemistry
84	#B79F00	5	76.7	S034	Chemistry
84	#B79F00	6	88	S034	Chemistry
84	#B79F00	7	81.1	S034	Chemistry
84	#B79F00	8	86.4	S034	Chemistry
85	#B79F00	1	53.1	S035	Chemistry
85	#B79F00	2	52.6	S035	Chemistry
85	#B79F00	3	60.3	S035	Chemistry
85	#B79F00	4	61	S035	Chemistry
85	#B79F00	5	58	S035	Chemistry
85	#B79F00	6	59	S035	Chemistry
85	#B79F00	7	72.6	S035	Chemistry
85	#B79F00	8	68.4	S035	Chemistry
86	#B79F00	1	67.7	S036	Chemistry
86	#B79F00	2	67.6	S036	Chemistry
86	#B79F00	3	63.2	S036	Chemistry
86	#B79F00	4	77.8	S036	Chemistry
86	#B79F00	5	70.5	S036	Chemistry
86	#B79F00	6	74.6	S036	Chemistry
86	#B79F00	7	81.1	S036	Chemistry
86	#B79F00	8	87.2	S036	Chemistry
87	#B79F00	1	68.4	S037	Chemistry
87	#B79F00	2	64.2	S037	Chemistry
87	#B79F00	3	59.1	S037	Chemistry
87	#B79F00	4	66.9	S037	Chemistry
87	#B79F00	5	67.1	S037	Chemistry
87	#B79F00	6	72.2	S037	Chemistry
87	#B79F00	7	71.1	S037	Chemistry
87	#B79F00	8	74.3	S037	Chemistry
88	#B79F00	1	53.3	S038	Chemistry
88	#B79F00	2	58.3	S038	Chemistry
88	#B79F00	3	59.1	S038	Chemistry
88	#B79F00	4	60.1	S038	Chemistry
88	#B79F00	5	59.9	S038	Chemistry
88	#B79F00	6	72.6	S038	Chemistry
88	#B79F00	7	76.1	S038	Chemistry
88	#B79F00	8	69.7	S038	Chemistry
89	#B79F00	1	50.9	S039	Chemistry
89	#B79F00	2	53.8	S039	Chemistry
89	#B79F00	3	61	S039	Chemistry
89	#B79F00	4	65.6	S039	Chemistry
89	#B79F00	5	61.2	S039	Chemistry
89	#B79F00	6	60.6	S039	Chemistry
89	#B79F00	7	61.9	S039	Chemistry
89	#B79F00	8	75.6	S039	Chemistry
90	#B79F00	1	66.7	S040	Chemistry
90	#B79F00	2	71.3	S040	Chemistry
90	#B79F00	3	66.9	S040	Chemistry
90	#B79F00	4	72.2	S040	Chemistry
90	#B79F00	5	72.7	S040	Chemistry
90	#B79F00	6	78	S040	Chemistry
90	#B79F00	7	67.7	S040	Chemistry
90	#B79F00	8	80.3	S040	Chemistry
91	#B79F00	1	48.3	S041	Chemistry
91	#B79F00	2	53.2	S041	Chemistry
91	#B79F00	3	58.3	S041	Chemistry
91	#B79F00	4	48.9	S041	Chemistry
91	#B79F00	5	60.5	S041	Chemistry
91	#B79F00	6	59.8	S041	Chemistry
91	#B79F00	7	54.6	S041	Chemistry
91	#B79F00	8	64.1	S041	Chemistry
92	#B79F00	1	54.7	S042	Chemistry
92	#B79F00	2	61.3	S042	Chemistry
92	#B79F00	3	60.2	S042	Chemistry
92	#B79F00	4	71.3	S042	Chemistry
92	#B79F00	5	72.6	S042	Chemistry
92	#B79F00	6	66	S042	Chemistry
92	#B79F00	7	66.7	S042	Chemistry
92	#B79F00	8	72.5	S042	Chemistry
93	#B79F00	1	67.7	S043	Chemistry
93	#B79F00	2	68.9	S043	Chemistry
93	#B79F00	3	76.8	S043	Chemistry
93	#B79F00	4	68.4	S043	Chemistry
93	#B79F00	5	79.4	S043	Chemistry
93	#B79F00	6	75.5	S043	Chemistry
93	#B79F00	7	78.1	S043	Chemistry
93	#B79F00	8	77.1	S043	Chemistry
94	#B79F00	1	85.1	S044	Chemistry
94	#B79F00	2	80.7	S044	Chemistry
94	#B79F00	3	86.1	S044	Chemistry
94	#B79F00	4	86.1	S044	Chemistry
94	#B79F00	5	87.7	S044	Chemistry
94	#B79F00	6	91.4	S044	Chemistry
94	#B79F00	7	93.8	S044	Chemistry
94	#B79F00	8	90.7	S044	Chemistry
95	#B79F00	1	54.5	S045	Chemistry
95	#B79F00	2	45.8	S045	Chemistry
95	#B79F00	3	47.4	S045	Chemistry
95	#B79F00	4	49.5	S045	Chemistry
95	#B79F00	5	58.3	S045	Chemistry
95	#B79F00	6	56.8	S045	Chemistry
95	#B79F00	7	61.8	S045	Chemistry
95	#B79F00	8	62.6	S045	Chemistry
96	#B79F00	1	64.2	S046	Chemistry
96	#B79F00	2	64	S046	Chemistry
96	#B79F00	3	80.7	S046	Chemistry
96	#B79F00	4	65	S046	Chemistry
96	#B79F00	5	70.9	S046	Chemistry
96	#B79F00	6	70.9	S046	Chemistry
96	#B79F00	7	70.7	S046	Chemistry
96	#B79F00	8	77.9	S046	Chemistry
97	#B79F00	1	69.6	S047	Chemistry
97	#B79F00	2	62.3	S047	Chemistry
97	#B79F00	3	72.4	S047	Chemistry
97	#B79F00	4	66.7	S047	Chemistry
97	#B79F00	5	65.9	S047	Chemistry
97	#B79F00	6	66.4	S047	Chemistry
97	#B79F00	7	76.1	S047	Chemistry
97	#B79F00	8	71	S047	Chemistry
98	#B79F00	1	69.1	S048	Chemistry
98	#B79F00	2	73.4	S048	Chemistry
98	#B79F00	3	76.4	S048	Chemistry
98	#B79F00	4	66.4	S048	Chemistry
98	#B79F00	5	76.7	S048	Chemistry
98	#B79F00	6	70.6	S048	Chemistry
98	#B79F00	7	84.6	S048	Chemistry
98	#B79F00	8	74.3	S048	Chemistry
99	#B79F00	1	77.9	S049	Chemistry
99	#B79F00	2	60.8	S049	Chemistry
99	#B79F00	3	66.1	S049	Chemistry
99	#B79F00	4	73.5	S049	Chemistry
99	#B79F00	5	72.8	S049	Chemistry
99	#B79F00	6	75.8	S049	Chemistry
99	#B79F00	7	80.4	S049	Chemistry
99	#B79F00	8	81.5	S049	Chemistry
100	#B79F00	1	70.3	S050	Chemistry
100	#B79F00	2	84.2	S050	Chemistry
100	#B79F00	3	89.3	S050	Chemistry
100	#B79F00	4	76.1	S050	Chemistry
100	#B79F00	5	94.9	S050	Chemistry
100	#B79F00	6	93	S050	Chemistry
100	#B79F00	7	87.8	S050	Chemistry
100	#B79F00	8	95.5	S050	Chemistry
101	#00BA38	1	82.5	S001	English
101	#00BA38	2	79.4	S001	English
101	#00BA38	3	79.5	S001	English
101	#00BA38	4	77.8	S001	English
101	#00BA38	5	87.9	S001	English
101	#00BA38	6	85.2	S001	English
101	#00BA38	7	98.6	S001	English
101	#00BA38	8	81.4	S001	English
102	#00BA38	1	69.5	S002	English
102	#00BA38	2	72.7	S002	English
102	#00BA38	3	72.8	S002	English
102	#00BA38	4	78.5	S002	English
102	#00BA38	5	71.7	S002	English
102	#00BA38	6	77.9	S002	English
102	#00BA38	7	91.5	S002	English
102	#00BA38	8	83.8	S002	English
103	#00BA38	1	68.1	S003	English
103	#00BA38	2	67.1	S003	English
103	#00BA38	3	75.2	S003	English
103	#00BA38	4	66.7	S003	English
103	#00BA38	5	72.2	S003	English
103	#00BA38	6	68.5	S003	English
103	#00BA38	7	70.7	S003	English
103	#00BA38	8	73.4	S003	English
104	#00BA38	1	60.5	S004	English
104	#00BA38	2	62.8	S004	English
104	#00BA38	3	64.1	S004	English
104	#00BA38	4	75.2	S004	English
104	#00BA38	5	80.9	S004	English
104	#00BA38	6	69.6	S004	English
104	#00BA38	7	72.8	S004	English
104	#00BA38	8	75.6	S004	English
105	#00BA38	1	76.9	S005	English
105	#00BA38	2	76.5	S005	English
105	#00BA38	3	71.5	S005	English
105	#00BA38	4	80.6	S005	English
105	#00BA38	5	84.3	S005	English
105	#00BA38	6	85.2	S005	English
105	#00BA38	7	92.6	S005	English
105	#00BA38	8	82.9	S005	English
106	#00BA38	1	69.1	S006	English
106	#00BA38	2	80.1	S006	English
106	#00BA38	3	83.1	S006	English
106	#00BA38	4	80.2	S006	English
106	#00BA38	5	87	S006	English
106	#00BA38	6	90	S006	English
106	#00BA38	7	92.1	S006	English
106	#00BA38	8	92	S006	English
107	#00BA38	1	70.1	S007	English
107	#00BA38	2	62.9	S007	English
107	#00BA38	3	81	S007	English
107	#00BA38	4	76.1	S007	English
107	#00BA38	5	77.9	S007	English
107	#00BA38	6	74.8	S007	English
107	#00BA38	7	77.8	S007	English
107	#00BA38	8	85.9	S007	English
108	#00BA38	1	61.9	S008	English
108	#00BA38	2	72.4	S008	English
108	#00BA38	3	62.7	S008	English
108	#00BA38	4	69.2	S008	English
108	#00BA38	5	81.9	S008	English
108	#00BA38	6	70.3	S008	English
108	#00BA38	7	73.6	S008	English
108	#00BA38	8	85.5	S008	English
109	#00BA38	1	54.5	S009	English
109	#00BA38	2	52.3	S009	English
109	#00BA38	3	53.9	S009	English
109	#00BA38	4	56.6	S009	English
109	#00BA38	5	57.3	S009	English
109	#00BA38	6	59.6	S009	English
109	#00BA38	7	65.3	S009	English
109	#00BA38	8	59.4	S009	English
110	#00BA38	1	47	S010	English
110	#00BA38	2	57.4	S010	English
110	#00BA38	3	54.4	S010	English
110	#00BA38	4	56.3	S010	English
110	#00BA38	5	58.9	S010	English
110	#00BA38	6	63.8	S010	English
110	#00BA38	7	63.1	S010	English
110	#00BA38	8	59.9	S010	English
111	#00BA38	1	46.1	S011	English
111	#00BA38	2	56	S011	English
111	#00BA38	3	45.6	S011	English
111	#00BA38	4	55.2	S011	English
111	#00BA38	5	53	S011	English
111	#00BA38	6	58.8	S011	English
111	#00BA38	7	62.7	S011	English
111	#00BA38	8	62	S011	English
112	#00BA38	1	67	S012	English
112	#00BA38	2	80.5	S012	English
112	#00BA38	3	65.7	S012	English
112	#00BA38	4	78	S012	English
112	#00BA38	5	74	S012	English
112	#00BA38	6	78	S012	English
112	#00BA38	7	84	S012	English
112	#00BA38	8	80.3	S012	English
113	#00BA38	1	75	S013	English
113	#00BA38	2	71.2	S013	English
113	#00BA38	3	73.2	S013	English
113	#00BA38	4	78.3	S013	English
113	#00BA38	5	82	S013	English
113	#00BA38	6	78.2	S013	English
113	#00BA38	7	87.2	S013	English
113	#00BA38	8	89.8	S013	English
114	#00BA38	1	63.1	S014	English
114	#00BA38	2	68.4	S014	English
114	#00BA38	3	72.1	S014	English
114	#00BA38	4	73.4	S014	English
114	#00BA38	5	86.6	S014	English
114	#00BA38	6	74.5	S014	English
114	#00BA38	7	84.6	S014	English
114	#00BA38	8	80	S014	English
115	#00BA38	1	38.1	S015	English
115	#00BA38	2	36.1	S015	English
115	#00BA38	3	37.3	S015	English
115	#00BA38	4	31	S015	English
115	#00BA38	5	43.6	S015	English
115	#00BA38	6	43.2	S015	English
115	#00BA38	7	36.5	S015	English
115	#00BA38	8	43.2	S015	English
116	#00BA38	1	65.6	S016	English
116	#00BA38	2	65.8	S016	English
116	#00BA38	3	64.8	S016	English
116	#00BA38	4	68.3	S016	English
116	#00BA38	5	68.7	S016	English
116	#00BA38	6	59.8	S016	English
116	#00BA38	7	74.6	S016	English
116	#00BA38	8	87.2	S016	English
117	#00BA38	1	52.4	S017	English
117	#00BA38	2	56.3	S017	English
117	#00BA38	3	64.5	S017	English
117	#00BA38	4	48.1	S017	English
117	#00BA38	5	63.3	S017	English
117	#00BA38	6	64.7	S017	English
117	#00BA38	7	64.4	S017	English
117	#00BA38	8	58.2	S017	English
118	#00BA38	1	72.2	S018	English
118	#00BA38	2	73.2	S018	English
118	#00BA38	3	72	S018	English
118	#00BA38	4	73.8	S018	English
118	#00BA38	5	73.3	S018	English
118	#00BA38	6	72.8	S018	English
118	#00BA38	7	78.7	S018	English
118	#00BA38	8	76.3	S018	English
119	#00BA38	1	50.6	S019	English
119	#00BA38	2	50.8	S019	English
119	#00BA38	3	48.2	S019	English
119	#00BA38	4	56.1	S019	English
119	#00BA38	5	56.9	S019	English
119	#00BA38	6	64.4	S019	English
119	#00BA38	7	53.4	S019	English
119	#00BA38	8	62.9	S019	English
120	#00BA38	1	48.5	S020	English
120	#00BA38	2	36.6	S020	English
120	#00BA38	3	48.1	S020	English
120	#00BA38	4	55.9	S020	English
120	#00BA38	5	57.1	S020	English
120	#00BA38	6	54.7	S020	English
120	#00BA38	7	52.5	S020	English
120	#00BA38	8	53	S020	English
121	#00BA38	1	79.9	S021	English
121	#00BA38	2	72.4	S021	English
121	#00BA38	3	84.9	S021	English
121	#00BA38	4	88.5	S021	English
121	#00BA38	5	80.1	S021	English
121	#00BA38	6	86.3	S021	English
121	#00BA38	7	82.4	S021	English
121	#00BA38	8	91.7	S021	English
122	#00BA38	1	66.3	S022	English
122	#00BA38	2	64.4	S022	English
122	#00BA38	3	74.8	S022	English
122	#00BA38	4	75.4	S022	English
122	#00BA38	5	66	S022	English
122	#00BA38	6	66.9	S022	English
122	#00BA38	7	75.3	S022	English
122	#00BA38	8	85.6	S022	English
123	#00BA38	1	67.7	S023	English
123	#00BA38	2	80.5	S023	English
123	#00BA38	3	77.4	S023	English
123	#00BA38	4	77.8	S023	English
123	#00BA38	5	81.7	S023	English
123	#00BA38	6	90.4	S023	English
123	#00BA38	7	80.2	S023	English
123	#00BA38	8	89.1	S023	English
124	#00BA38	1	57.8	S024	English
124	#00BA38	2	56.5	S024	English
124	#00BA38	3	61.6	S024	English
124	#00BA38	4	73.7	S024	English
124	#00BA38	5	68.9	S024	English
124	#00BA38	6	75.3	S024	English
124	#00BA38	7	83.4	S024	English
124	#00BA38	8	83.4	S024	English
125	#00BA38	1	70.8	S025	English
125	#00BA38	2	74.1	S025	English
125	#00BA38	3	80.1	S025	English
125	#00BA38	4	78.6	S025	English
125	#00BA38	5	75.5	S025	English
125	#00BA38	6	77.4	S025	English
125	#00BA38	7	88.7	S025	English
125	#00BA38	8	83.8	S025	English
126	#00BA38	1	48.7	S026	English
126	#00BA38	2	58.2	S026	English
126	#00BA38	3	63	S026	English
126	#00BA38	4	57.3	S026	English
126	#00BA38	5	62.3	S026	English
126	#00BA38	6	54.9	S026	English
126	#00BA38	7	59.8	S026	English
126	#00BA38	8	58.6	S026	English
127	#00BA38	1	59.7	S027	English
127	#00BA38	2	62	S027	English
127	#00BA38	3	63.7	S027	English
127	#00BA38	4	68.4	S027	English
127	#00BA38	5	74.9	S027	English
127	#00BA38	6	69.7	S027	English
127	#00BA38	7	73.8	S027	English
127	#00BA38	8	65.7	S027	English
128	#00BA38	1	62.9	S028	English
128	#00BA38	2	72	S028	English
128	#00BA38	3	76.1	S028	English
128	#00BA38	4	82	S028	English
128	#00BA38	5	77.4	S028	English
128	#00BA38	6	86.2	S028	English
128	#00BA38	7	87.4	S028	English
128	#00BA38	8	89.7	S028	English
129	#00BA38	1	38.8	S029	English
129	#00BA38	2	51.2	S029	English
129	#00BA38	3	47.5	S029	English
129	#00BA38	4	53.6	S029	English
129	#00BA38	5	57.1	S029	English
129	#00BA38	6	57.1	S029	English
129	#00BA38	7	56.9	S029	English
129	#00BA38	8	58.6	S029	English
130	#00BA38	1	62.3	S030	English
130	#00BA38	2	57.7	S030	English
130	#00BA38	3	63.8	S030	English
130	#00BA38	4	65.1	S030	English
130	#00BA38	5	74.3	S030	English
130	#00BA38	6	75.9	S030	English
130	#00BA38	7	73.1	S030	English
130	#00BA38	8	83.4	S030	English
131	#00BA38	1	52.9	S031	English
131	#00BA38	2	45.5	S031	English
131	#00BA38	3	57.7	S031	English
131	#00BA38	4	58.3	S031	English
131	#00BA38	5	55	S031	English
131	#00BA38	6	61.2	S031	English
131	#00BA38	7	56.2	S031	English
131	#00BA38	8	61.8	S031	English
132	#00BA38	1	61.9	S032	English
132	#00BA38	2	66.9	S032	English
132	#00BA38	3	55.1	S032	English
132	#00BA38	4	79	S032	English
132	#00BA38	5	78.1	S032	English
132	#00BA38	6	68.4	S032	English
132	#00BA38	7	64.1	S032	English
132	#00BA38	8	84.6	S032	English
133	#00BA38	1	65.8	S033	English
133	#00BA38	2	51.7	S033	English
133	#00BA38	3	61	S033	English
133	#00BA38	4	64.1	S033	English
133	#00BA38	5	68.4	S033	English
133	#00BA38	6	67	S033	English
133	#00BA38	7	70.2	S033	English
133	#00BA38	8	78.4	S033	English
134	#00BA38	1	77.2	S034	English
134	#00BA38	2	73.6	S034	English
134	#00BA38	3	81.2	S034	English
134	#00BA38	4	79.7	S034	English
134	#00BA38	5	81.1	S034	English
134	#00BA38	6	89.3	S034	English
134	#00BA38	7	93.6	S034	English
134	#00BA38	8	75	S034	English
135	#00BA38	1	62.1	S035	English
135	#00BA38	2	65	S035	English
135	#00BA38	3	66.3	S035	English
135	#00BA38	4	67.7	S035	English
135	#00BA38	5	64.8	S035	English
135	#00BA38	6	63.4	S035	English
135	#00BA38	7	68.4	S035	English
135	#00BA38	8	75.7	S035	English
136	#00BA38	1	65.9	S036	English
136	#00BA38	2	70.8	S036	English
136	#00BA38	3	74.8	S036	English
136	#00BA38	4	80.1	S036	English
136	#00BA38	5	79.6	S036	English
136	#00BA38	6	75.6	S036	English
136	#00BA38	7	86.7	S036	English
136	#00BA38	8	74.9	S036	English
137	#00BA38	1	63.5	S037	English
137	#00BA38	2	70.1	S037	English
137	#00BA38	3	73.7	S037	English
137	#00BA38	4	67.7	S037	English
137	#00BA38	5	69.7	S037	English
137	#00BA38	6	77.1	S037	English
137	#00BA38	7	78.1	S037	English
137	#00BA38	8	83.4	S037	English
138	#00BA38	1	59.4	S038	English
138	#00BA38	2	56.2	S038	English
138	#00BA38	3	70.3	S038	English
138	#00BA38	4	72.5	S038	English
138	#00BA38	5	66.7	S038	English
138	#00BA38	6	71.1	S038	English
138	#00BA38	7	73.5	S038	English
138	#00BA38	8	74.1	S038	English
139	#00BA38	1	63.8	S039	English
139	#00BA38	2	69.3	S039	English
139	#00BA38	3	65.5	S039	English
139	#00BA38	4	64.7	S039	English
139	#00BA38	5	62.2	S039	English
139	#00BA38	6	62.7	S039	English
139	#00BA38	7	71.2	S039	English
139	#00BA38	8	68	S039	English
140	#00BA38	1	80.9	S040	English
140	#00BA38	2	77.7	S040	English
140	#00BA38	3	76.9	S040	English
140	#00BA38	4	74.3	S040	English
140	#00BA38	5	82.4	S040	English
140	#00BA38	6	77.9	S040	English
140	#00BA38	7	81.5	S040	English
140	#00BA38	8	77.1	S040	English
141	#00BA38	1	51.8	S041	English
141	#00BA38	2	57.3	S041	English
141	#00BA38	3	57.3	S041	English
141	#00BA38	4	66.3	S041	English
141	#00BA38	5	65.6	S041	English
141	#00BA38	6	73.8	S041	English
141	#00BA38	7	65.3	S041	English
141	#00BA38	8	70.5	S041	English
142	#00BA38	1	68	S042	English
142	#00BA38	2	59.8	S042	English
142	#00BA38	3	75.2	S042	English
142	#00BA38	4	68.3	S042	English
142	#00BA38	5	84.1	S042	English
142	#00BA38	6	64.9	S042	English
142	#00BA38	7	76.7	S042	English
142	#00BA38	8	79	S042	English
143	#00BA38	1	77.2	S043	English
143	#00BA38	2	64.2	S043	English
143	#00BA38	3	70.3	S043	English
143	#00BA38	4	80.8	S043	English
143	#00BA38	5	77.3	S043	English
143	#00BA38	6	70.7	S043	English
143	#00BA38	7	69.9	S043	English
143	#00BA38	8	87.1	S043	English
144	#00BA38	1	81.6	S044	English
144	#00BA38	2	88.1	S044	English
144	#00BA38	3	82.6	S044	English
144	#00BA38	4	93.1	S044	English
144	#00BA38	5	91.1	S044	English
144	#00BA38	6	92.3	S044	English
144	#00BA38	7	93.6	S044	English
144	#00BA38	8	93.7	S044	English
145	#00BA38	1	53.7	S045	English
145	#00BA38	2	52.6	S045	English
145	#00BA38	3	61	S045	English
145	#00BA38	4	64.7	S045	English
145	#00BA38	5	51.9	S045	English
145	#00BA38	6	67.4	S045	English
145	#00BA38	7	68.2	S045	English
145	#00BA38	8	62.6	S045	English
146	#00BA38	1	68.8	S046	English
146	#00BA38	2	65.7	S046	English
146	#00BA38	3	59.8	S046	English
146	#00BA38	4	71.1	S046	English
146	#00BA38	5	64.9	S046	English
146	#00BA38	6	76	S046	English
146	#00BA38	7	76.9	S046	English
146	#00BA38	8	85.3	S046	English
147	#00BA38	1	73.9	S047	English
147	#00BA38	2	67.6	S047	English
147	#00BA38	3	72	S047	English
147	#00BA38	4	72.6	S047	English
147	#00BA38	5	76.4	S047	English
147	#00BA38	6	71.1	S047	English
147	#00BA38	7	76.4	S047	English
147	#00BA38	8	80	S047	English
148	#00BA38	1	64.5	S048	English
148	#00BA38	2	80.1	S048	English
148	#00BA38	3	86.1	S048	English
148	#00BA38	4	70.9	S048	English
148	#00BA38	5	80.5	S048	English
148	#00BA38	6	81.8	S048	English
148	#00BA38	7	90.1	S048	English
148	#00BA38	8	84.8	S048	English
149	#00BA38	1	64	S049	English
149	#00BA38	2	75	S049	English
149	#00BA38	3	80.7	S049	English
149	#00BA38	4	71.4	S049	English
149	#00BA38	5	81.5	S049	English
149	#00BA38	6	81.8	S049	English
149	#00BA38	7	76.5	S049	English
149	#00BA38	8	89.4	S049	English
150	#00BA38	1	84.1	S050	English
150	#00BA38	2	83.9	S050	English
150	#00BA38	3	87.6	S050	English
150	#00BA38	4	89.1	S050	English
150	#00BA38	5	87.2	S050	English
150	#00BA38	6	90.4	S050	English
150	#00BA38	7	94	S050	English
150	#00BA38	8	94.6	S050	English
151	#00BFC4	1	78.4	S001	History
151	#00BFC4	2	63.9	S001	History
151	#00BFC4	3	81.2	S001	History
151	#00BFC4	4	75.2	S001	History
151	#00BFC4	5	95.5	S001	History
151	#00BFC4	6	79.2	S001	History
151	#00BFC4	7	86.6	S001	History
151	#00BFC4	8	87.5	S001	History
152	#00BFC4	1	66.5	S002	History
152	#00BFC4	2	78.1	S002	History
152	#00BFC4	3	70.7	S002	History
152	#00BFC4	4	79.6	S002	History
152	#00BFC4	5	76.8	S002	History
152	#00BFC4	6	85.7	S002	History
152	#00BFC4	7	73.8	S002	History
152	#00BFC4	8	86.4	S002	History
153	#00BFC4	1	62.3	S003	History
153	#00BFC4	2	68.9	S003	History
153	#00BFC4	3	60	S003	History
153	#00BFC4	4	61.8	S003	History
153	#00BFC4	5	75.5	S003	History
153	#00BFC4	6	72.8	S003	History
153	#00BFC4	7	81.9	S003	History
153	#00BFC4	8	72.8	S003	History
154	#00BFC4	1	68.2	S004	History
154	#00BFC4	2	65.5	S004	History
154	#00BFC4	3	67.9	S004	History
154	#00BFC4	4	74.1	S004	History
154	#00BFC4	5	65.6	S004	History
154	#00BFC4	6	76.9	S004	History
154	#00BFC4	7	80.2	S004	History
154	#00BFC4	8	75.9	S004	History
155	#00BFC4	1	84.5	S005	History
155	#00BFC4	2	79.7	S005	History
155	#00BFC4	3	85.5	S005	History
155	#00BFC4	4	77.8	S005	History
155	#00BFC4	5	83.1	S005	History
155	#00BFC4	6	86.1	S005	History
155	#00BFC4	7	83.3	S005	History
155	#00BFC4	8	86.3	S005	History
156	#00BFC4	1	80.2	S006	History
156	#00BFC4	2	75.7	S006	History
156	#00BFC4	3	81.9	S006	History
156	#00BFC4	4	81.7	S006	History
156	#00BFC4	5	86.1	S006	History
156	#00BFC4	6	85.8	S006	History
156	#00BFC4	7	88.4	S006	History
156	#00BFC4	8	97.5	S006	History
157	#00BFC4	1	69.8	S007	History
157	#00BFC4	2	71.8	S007	History
157	#00BFC4	3	71	S007	History
157	#00BFC4	4	71.3	S007	History
157	#00BFC4	5	84.5	S007	History
157	#00BFC4	6	82.2	S007	History
157	#00BFC4	7	83.6	S007	History
157	#00BFC4	8	85.5	S007	History
158	#00BFC4	1	67.3	S008	History
158	#00BFC4	2	55.2	S008	History
158	#00BFC4	3	66.5	S008	History
158	#00BFC4	4	70.2	S008	History
158	#00BFC4	5	70.5	S008	History
158	#00BFC4	6	71	S008	History
158	#00BFC4	7	85.5	S008	History
158	#00BFC4	8	77.9	S008	History
159	#00BFC4	1	53.7	S009	History
159	#00BFC4	2	54.3	S009	History
159	#00BFC4	3	56.9	S009	History
159	#00BFC4	4	62	S009	History
159	#00BFC4	5	69.2	S009	History
159	#00BFC4	6	57	S009	History
159	#00BFC4	7	59.4	S009	History
159	#00BFC4	8	64.2	S009	History
160	#00BFC4	1	60.4	S010	History
160	#00BFC4	2	53.3	S010	History
160	#00BFC4	3	67.3	S010	History
160	#00BFC4	4	62.3	S010	History
160	#00BFC4	5	68.7	S010	History
160	#00BFC4	6	66.5	S010	History
160	#00BFC4	7	64.6	S010	History
160	#00BFC4	8	74.6	S010	History
161	#00BFC4	1	50.2	S011	History
161	#00BFC4	2	44.1	S011	History
161	#00BFC4	3	51.9	S011	History
161	#00BFC4	4	56.8	S011	History
161	#00BFC4	5	58.6	S011	History
161	#00BFC4	6	69	S011	History
161	#00BFC4	7	57.8	S011	History
161	#00BFC4	8	64.7	S011	History
162	#00BFC4	1	63	S012	History
162	#00BFC4	2	77.7	S012	History
162	#00BFC4	3	72.5	S012	History
162	#00BFC4	4	79.1	S012	History
162	#00BFC4	5	84.6	S012	History
162	#00BFC4	6	72.4	S012	History
162	#00BFC4	7	84.5	S012	History
162	#00BFC4	8	85.2	S012	History
163	#00BFC4	1	65.3	S013	History
163	#00BFC4	2	72.1	S013	History
163	#00BFC4	3	71.3	S013	History
163	#00BFC4	4	76.7	S013	History
163	#00BFC4	5	80.5	S013	History
163	#00BFC4	6	79.8	S013	History
163	#00BFC4	7	89.9	S013	History
163	#00BFC4	8	93.2	S013	History
164	#00BFC4	1	63.6	S014	History
164	#00BFC4	2	77.9	S014	History
164	#00BFC4	3	75.1	S014	History
164	#00BFC4	4	73.5	S014	History
164	#00BFC4	5	72.4	S014	History
164	#00BFC4	6	72.1	S014	History
164	#00BFC4	7	80.8	S014	History
164	#00BFC4	8	84.9	S014	History
165	#00BFC4	1	46.9	S015	History
165	#00BFC4	2	36.7	S015	History
165	#00BFC4	3	35.8	S015	History
165	#00BFC4	4	51	S015	History
165	#00BFC4	5	39.3	S015	History
165	#00BFC4	6	45	S015	History
165	#00BFC4	7	40	S015	History
165	#00BFC4	8	50.1	S015	History
166	#00BFC4	1	61.4	S016	History
166	#00BFC4	2	61.2	S016	History
166	#00BFC4	3	63.9	S016	History
166	#00BFC4	4	71.8	S016	History
166	#00BFC4	5	69.7	S016	History
166	#00BFC4	6	80.4	S016	History
166	#00BFC4	7	79.7	S016	History
166	#00BFC4	8	80.4	S016	History
167	#00BFC4	1	55.5	S017	History
167	#00BFC4	2	62.1	S017	History
167	#00BFC4	3	62.8	S017	History
167	#00BFC4	4	65.9	S017	History
167	#00BFC4	5	72.6	S017	History
167	#00BFC4	6	74.3	S017	History
167	#00BFC4	7	72.2	S017	History
167	#00BFC4	8	74.5	S017	History
168	#00BFC4	1	69.7	S018	History
168	#00BFC4	2	82.9	S018	History
168	#00BFC4	3	74.6	S018	History
168	#00BFC4	4	73.6	S018	History
168	#00BFC4	5	74.7	S018	History
168	#00BFC4	6	81.3	S018	History
168	#00BFC4	7	81.1	S018	History
168	#00BFC4	8	79.6	S018	History
169	#00BFC4	1	54.2	S019	History
169	#00BFC4	2	51.2	S019	History
169	#00BFC4	3	53	S019	History
169	#00BFC4	4	47.9	S019	History
169	#00BFC4	5	60.1	S019	History
